Unnamed: 0,url,name,address,field1,field2,field3,field4,field5,lat,lon
0,https://datacenters.com/amazon-aws-gru1-sao-paulo,Amazon AWS: GRU1 Sao Paulo,"Avenida Ceci, 1900 - Residencial Tambore, Barueri - State of São Paulo, Brazil",0 colocation products,,,,,-23.498109103703158,-46.81977215383011
2,https://datacenters.com/microsoft-azure-brazil-south-sao-paulo-state,Microsoft Azure: Brazil South-Sao Paulo State,"Rua Santa Teresa, 64 - Centro Histórico de São Paulo, São Paulo - State of São Paulo, Brazil",0 colocation products,5.0 miles to nearest airport,,,,-23.645368046653324,-46.838112933380074
3,https://datacenters.com/equinix-sp4-sao-paulo,Equinix: SP4 Sao Paulo,"Avenida Ceci, 1900 - Residencial Tambore, Barueri - State of São Paulo, Brazil",185677 sqft total space,65700 sqft colocation space,0 colocation products,,,-23.498109103703158,-46.81977215383011
4,https://datacenters.com/equinix-sp2-barueri,Equinix: SP2 Barueri Data Center,"Alameda Araguaia, 3641 - Tamboré, Barueri - State of São Paulo, Brazil",95387 sqft total space,34432 sqft colocation space,12.0 MW total power,0 colocation products,13.7 miles to nearest airport,-23.50264315,-46.82710274269107
5,https://datacenters.com/latitude-sh-sao-paulo-i,Latitude.sh: São Paulo I,"Rua Dr. Eduardo Martinelli, 100 - Vila Mariana, São Paulo - State of São Paulo, Brazil",7000 sqft total space,3500 sqft colocation space,1000.0 MW total power,0 colocation products,,-23.5800165875591,-46.64077003181534
6,https://datacenters.com/equinix-sp1-centro,Equinix: SP1 Centro Data Center,"Rua Doutor Miguel Couto, 58 - Centro, São Paulo - State of São Paulo, Brazil",52743 sqft total space,17695 sqft colocation space,1.0 MW total power,0 colocation products,5.6 miles to nearest airport,-23.52951474806991,-46.346862145560586
7,https://datacenters.com/elea-poa1-porto-alegre,Elea Data Centers: POA1 Porto Alegre Data Center,"Rua Engenheiro Afonso Cavalcanti, 100 - Bela Vista, Porto Alegre - RS, Brazil",0 colocation products,2.87 miles to nearest airport,,,,-30.034832740892647,-51.190740930740574
9,https://datacenters.com/equinix-rj2-del-castilho,Equinix: RJ2 Del Castilho Data Center,"Estrada Adhemar Bebiano, 1380 - Del Castilho, Rio de Janeiro - State of Rio de Janeiro, Brazil",168888 sqft total space,41016 sqft colocation space,9.0 MW total power,0 colocation products,5.6 miles to nearest airport,-22.873750312819148,-43.267123868945994
11,https://datacenters.com/amazon-aws-gig50-tivit,Amazon AWS: GIG50 (TIVIT),"Estrada dos Bandeirantes, 10916 - Jacarepaguá, Rio de Janeiro - State of Rio de Janeiro, Brazil",0 colocation products,,,,,-22.96110540909326,-43.393836926466506
13,https://datacenters.com/amazon-aws-gru4-ascenty-jd-1,Amazon AWS: GRU4 (Ascenty JD-1),"Rua Presbítero Plínio Alves De Souza, Ermida, Jundiaí - São Paulo, Brasil - Jardim Ermida I, Jundiaí - State of São Paulo, Brazil",0 colocation products,,,,,-23.187929097525963,-46.97305326187163
14,https://datacenters.com/equinix-rj1-botafogo,Equinix: RJ1 Botafogo Data Center,"Rua Voluntários da Pátria, 360 - Botafogo, Rio de Janeiro - State of Rio de Janeiro, Brazil",55972 sqft total space,15065 sqft colocation space,1.0 MW total power,0 colocation products,10.6 miles to nearest airport,-22.95474435,-43.19458962590461
16,https://datacenters.com/ascenty-a-digital-realty-company-hortolandia-4,Ascenty: Hortolândia 4 Data Center,"Rua Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - State of São Paulo, Brazil",32291 sqft total space,0 colocation products,,,,-22.89540854282722,-47.177466167779286
18,https://datacenters.com/china-telecom-sp2,China Telecom: SP2 Data Center,"Alameda Araguaia, 3641 - Tamboré, Barueri - SP, 06455-000, Brazil",0 colocation products,13.65 miles to nearest airport,,,,-23.50264315,-46.82710274269107
19,https://datacenters.com/ascenty-a-digital-realty-company-rj1-rio-de-janeiro-rio01,Ascenty: RJ1 Rio de Janeiro RIO01 Data Center,"Avenida Coronel Phidias Távora, 513 - Pavuna, Rio de Janeiro - RJ, 21535-510, Brazil",75000 sqft total space,10.0 MW total power,0 colocation products,,,-22.808158525311917,-43.34022894054106
20,https://datacenters.com/oracle-brazil-east-sa-saopaulo-1,Oracle: Brazil East sa-saopaulo-1,"São Paulo, State of São Paulo, Brazil",0 colocation products,,,,,-23.5506507,-46.6333824
21,https://datacenters.com/scala-sgrutb01,Scala Data Centers: SGRUTB01,"Av. Ceci, 1850 - Tamboré, Barueri - SP, 06460-120, Brazil",169178 sqft total space,21.0 MW total power,0 colocation products,13.47 miles to nearest airport,,-23.496901490629213,-46.8286808214364
23,https://datacenters.com/ibm-sao01-sao-paulo-brazil,"IBM Cloud: SAO01 Sao Paulo, Brazil","Rua Tutóia, 1157 - Vila Mariana, São Paulo - State of São Paulo, Brazil",0 colocation products,,,,,-23.57830968090799,-46.65106056814752
28,https://datacenters.com/zenlayer-sao1-sao-paulo-brazil,Zenlayer: SAO1 Sao Paulo Brazil Data Center,"Alameda Araguaia, 3641 - Alphaville, Barueri - State of São Paulo, 06455-000, Brazil",0 colocation products,,,,,-23.500098774970663,-46.84390232269072
29,https://datacenters.com/ntt-communications-sao-paulo,NTT Communications: Sao Paulo Data Center,"Avenida Paulista, 71 - Bela Vista, São Paulo - State of São Paulo, Brazil",0 colocation products,3.7 miles to nearest airport,,,,-23.56749775,-46.649099899999996
30,https://datacenters.com/oracle-brazil-southeast-sa-vinhedo-1,Oracle: Brazil Southeast sa-vinhedo-1,"Vinhedo, State of São Paulo, Brazil",0 colocation products,,,,,-23.0298535,-46.9749847
32,https://datacenters.com/sba-edge-sao-paulo,SBA Edge: Sao Paulo Data Center,"São Paulo, State of São Paulo, Brazil",43056 sqft total space,0 colocation products,,,,-23.5506507,-46.6333824
33,https://datacenters.com/amazon-aws-gru50-uol-diveo,Amazon AWS: GRU50 (UOL DIVEO),"Av. Ceci, 1850 - Tamboré, Barueri - State of São Paulo, Brazil",0 colocation products,,,,,-23.49791495631882,-46.82162116063731
36,https://datacenters.com/hostdime-north-brazil,HostDime: North Brazil Data Center,"Av. São Paulo, 1223 - Estados, João Pessoa - PB, 58030-040, Brazil",20000 sqft total space,0 colocation products,9.82 miles to nearest airport,,,-7.117642119504635,-34.86126482336578
37,https://datacenters.com/china-telecom-ascenty-sao-paulo,China Telecom: Ascenty Sao Paulo Data Center,"Av. Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - SP, 02675-031, Brazil",0 colocation products,,,,,-23.493522900000002,-46.778517699999995
39,https://datacenters.com/takoda-takoda-rio-de-janeiro-rj1,TAKODA: Takoda Rio de Janeiro - RJ1,"Estr. dos Bandeirantes, 10916 - Jacarepaguá, Rio de Janeiro - RJ, 22783-111, Brasil",9896 sqft total space,9.0 MW total power,0 colocation products,3.92 miles to nearest airport,,-22.96110540909326,-43.393836926466506
40,https://datacenters.com/ascenty-a-digital-realty-company-hortolandia-1,Ascenty: Hortolândia 1 Data Center,"R. Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - SP, 13185-252, Brazil",43000 sqft total space,10.0 MW total power,0 colocation products,,,-22.89540854282722,-47.177466167779286
41,https://datacenters.com/nextstream-cic,NextStream: CIC Data Center,"Rua Senador Accioly Filho, 2200 - Cidade Industrial de Curitiba, Curitiba - PR, 81350-200, Brazil",0 colocation products,9.99 miles to nearest airport,,,,-25.4962621,-49.3288227
42,https://datacenters.com/ascenty-a-digital-realty-company-sp3-sao-paulo-3,Ascenty: SP3 Sao Paulo 3,"Av. Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - State of São Paulo, Brazil",43055 sqft total space,4.0 MW total power,0 colocation products,,,-23.49349295,-46.778577150000004
43,https://datacenters.com/scala-sgrutb05,Scala Data Centers: SGRUTB05,"Av. Ceci, 1600 - Jardim Mutinga, Barueri - SP, 06460-120, Brazil",72669 sqft total space,6.0 MW total power,0 colocation products,13.48 miles to nearest airport,,-23.49791495631882,-46.82162116063731
44,https://datacenters.com/odata-dc-sp03,ODATA: DC SP03 Data Center,"Alameda Araguacema, 187 - Tamboré, Barueri - SP, 06460-070, Brazil",0 colocation products,13.54 miles to nearest airport,,,,-23.501569240940213,-46.824631020771086
50,https://datacenters.com/ascenty-a-digital-realty-company-jundiai-1,Ascenty: Jundiaí 1 Data Center,"Rua Presbítero Plinio Alves de Souza - Jardim Ermida I, Jundiaí - State of São Paulo, Brazil",75347 sqft total space,15.0 MW total power,0 colocation products,,,-23.187929097525963,-46.97305326187163
57,https://datacenters.com/ascenty-a-digital-realty-company-paulinia-1,Ascenty: Paulínia 1 Data Center,"R. Sebastião Cardoso - Parque Brasil 500, Paulínia - State of São Paulo, Brazil",86000 sqft total space,14.0 MW total power,0 colocation products,,,-22.793559569134995,-47.137736704850674
58,https://datacenters.com/deft-sao-paulo,Summit: Sao Paulo Data Center,"São Paulo, State of São Paulo, Brazil",0 colocation products,16.0 miles to nearest airport,,,,-23.5506507,-46.6333824
59,https://datacenters.com/scala-spoapa01,Scala Data Centers: SPOAPA01,"Av. Pernambuco, 1124 - Navegantes, Porto Alegre - RS, 90240-001, Brazil",43809 sqft total space,4.0 MW total power,0 colocation products,1.41 miles to nearest airport,,-30.005446930502778,-51.19943155094119
60,https://datacenters.com/scala-sgrutb08,Scala Data Centers: SGRUTB08,"Av. Ceci, 1700 - Tamboré, Barueri - SP, 06460-120, Brazil",189251 sqft total space,189251 sqft colocation space,24.0 MW total power,0 colocation products,13.27 miles to nearest airport,-23.496901490629213,-46.8286808214364
65,https://datacenters.com/ascenty-a-digital-realty-company-hortolandia-3,Ascenty: Hortolandia 3 Data Center,"Rua Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - State of São Paulo, Brazil",32291 sqft total space,3.0 MW total power,0 colocation products,,,-22.89540854282722,-47.177466167779286
66,https://datacenters.com/elea-cta1-curitiba,Elea Data Centers: CTA1 Curitiba Data Center,"Tv. Teixeira de Freitas, 73 - São Francisco, Curitiba - State of Paraná, Brazil",0 colocation products,9.95 miles to nearest airport,,,,-25.42515022094422,-49.28078741843975
67,https://datacenters.com/ascenty-a-digital-realty-company-hortolandia-2,Ascenty: HORTOLÂNDIA 2 Data Center,"Rua Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - State of São Paulo, Brazil",43055 sqft total space,7.0 MW total power,0 colocation products,266.57 miles to nearest airport,,-22.89540854282722,-47.177466167779286
68,https://datacenters.com/scala-sgrutb03,Scala Data Centers: SGRUTB03,"Av. Ceci, 1750 - Tamboré, Barueri - SP, 06460-120, Brazil",81763 sqft total space,9.0 MW total power,0 colocation products,13.5 miles to nearest airport,,-23.496901490629213,-46.8286808214364
73,https://datacenters.com/ibm-sao05-sao-paulo-brazil,"IBM Cloud: SAO05 Sao Paulo, Brazil","São Paulo, State of São Paulo, Brazil",0 colocation products,,,,,-23.5506507,-46.6333824
74,https://datacenters.com/ascenty-a-digital-realty-company-rj2-rio-de-janeiro,Ascenty: RJ2 Rio de Janeiro Data Center,"Avenida Coronel Phidias Távora, 513 - Pavuna, Rio de Janeiro - State of Rio de Janeiro, Brazil",32000 sqft total space,3.0 MW total power,0 colocation products,,,-22.808158525311917,-43.34022894054106
75,https://datacenters.com/takoda-takoda-sao-paulo-sp2,TAKODA: Takoda Sao Paulo - SP2,"Av. Maria Coelho Aguiar, 215 - Jardim São Luís, São Paulo - SP, 05805-000, Brasil",1.0 MW total power,0 colocation products,4.73 miles to nearest airport,,,-23.655383383916906,-46.73580844039931
77,https://datacenters.com/zenlayer-gig1-rio-de-janeiro,Zenlayer: GIG1 Rio De Janeiro Data Center,"Estrada Adhemar Bebiano - Del Castilho, Rio de Janeiro - RJ, 21051-070, Brazil",0 colocation products,4.4 miles to nearest airport,,,,-22.873750312819148,-43.267123868945994
78,https://datacenters.com/claranet-sao-paulo,Claranet: São Paulo Data Center,"Canopus Corporate Alphaville - Avenida Tambore - Tamboré, Barueri - State of São Paulo, Brazil",0 colocation products,14.5 miles to nearest airport,,,,-23.5033886,-46.844395492820524
79,https://datacenters.com/digital-realty-sao-paulo-sp01,Digital Realty: São Paulo SP01 Data Center,"Avenida Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - SP, 06268-120, Brazil",43000 sqft total space,6.0 MW total power,0 colocation products,,,-23.49349295,-46.778577150000004
80,https://datacenters.com/digital-realty-rio-de-janeiro-rio02,Digital Realty: Rio de Janeiro RIO02 Data Center,"Avenida Coronel Phidias Távora, 513 - Pavuna, Rio de Janeiro - State of Rio de Janeiro, 21535-510, Brazil",32000 sqft total space,3.0 MW total power,0 colocation products,,,-22.808158525311917,-43.34022894054106
82,https://datacenters.com/edgeuno-for1-fortaleza,Edgeuno: FOR1 Fortaleza Data Center,"Avenida Trajano de Medeiros, 1851 - Vicente Pinzon, Fortaleza - Ceará, Brazil",0 colocation products,6.18 miles to nearest airport,,,,-3.735326,-38.4618152
83,https://datacenters.com/edgeuno-gru1-barueri,Edgeuno: GRU1 Barueri Data Center,"Avenida Ceci, 1900 - Residencial Tambore, Barueri - State of São Paulo, 06460-120, Brazil",0 colocation products,13.22 miles to nearest airport,,,,-23.498109103703158,-46.81977215383011
84,https://datacenters.com/edgeuno-gru9-rio-de-janeiro,Edgeuno: GRU9 Rio de Janeiro Data Center,"Estrada Adhemar Bebiano, 1380 - Del Castilho, Rio de Janeiro - State of Rio de Janeiro, 21051-070, Brazil",0 colocation products,4.73 miles to nearest airport,,,,-22.873750312819148,-43.267123868945994
85,https://datacenters.com/digital-realty-sao-paulo-jdi02,Digital Realty: São Paulo JDI02 Data Center,"Rua Presbítero Plinio Alves de Souza, 757 - Jardim Ermida I, Jundiaí - SP, 13212-181, Brazil",97000 sqft total space,14.0 MW total power,0 colocation products,,,-23.187929097525963,-46.97305326187163
86,https://datacenters.com/edgeuno-poa1-porto-alegre,Edgeuno: POA1 Porto Alegre Data Center,"Rua General Câmara, 156 - Centro Histórico, Porto Alegre - RS, 90010-230, Brazil",0 colocation products,3.97 miles to nearest airport,,,,-30.03020525,-51.2299755
88,https://datacenters.com/ascenty-a-digital-realty-company-fortaleza,Ascenty: Fortaleza Data Center,"Rua Quatorze, 1161, Fortaleza - CE, 61921-430, Brazil",97000 sqft total space,10.0 MW total power,0 colocation products,,,-3.8071614120543984,-38.54458840645687
90,https://datacenters.com/digital-realty-sao-paulo-sp02,Digital Realty: São Paulo SP02 Data Center,"Avenida Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - SP, 06268-120, Brazil",97000 sqft total space,14.0 MW total power,0 colocation products,,,-23.49349295,-46.778577150000004
93,https://datacenters.com/edgeuno-ssa1-salvador,Edgeuno: SSA1 Salvador Data Center,"Rua José Augusto Tourinho Dantas, 344 - Praia do Flamengo, Salvador - State of Bahia, 41603-110, Brazil",0 colocation products,1.25 miles to nearest airport,,,,-12.918625745676103,-38.31737818403499
94,https://datacenters.com/edgeuno-cwb1-curitiba,Edgeuno: CWB1 Curitiba Data Center,"R. Prof. Rubens Elke Braga, 107 - Parolin, Curitiba - State of Paraná, 80220-320, Brazil",0 colocation products,7.31 miles to nearest airport,,,,-25.462091059815275,-49.26763344841582
95,https://datacenters.com/edgeuno-gru5-osasco,Edgeuno: GRU5 Osasco Data Center,"Avenida Roberto Pinto Sobrinho, 350 - Vila Menck, Osasco - State of São Paulo, 06268-120, Brazil",0 colocation products,11.91 miles to nearest airport,,,,-23.49349295,-46.778577150000004
97,https://datacenters.com/digital-realty-sao-paulo-jdi01,Digital Realty: São Paulo JDI01 Data Center,"Rua Presbítero Plinio Alves de Souza, 757 - Jardim Ermida I, Jundiaí - SP, 13212-181, Brazil",75000 sqft total space,15.0 MW total power,0 colocation products,,,-23.187929097525963,-46.97305326187163
98,https://datacenters.com/digital-realty-rio-de-janeiro-rio01,Digital Realty: Rio de Janeiro RIO01 Data Center,"Avenida Coronel Phidias Távora, 513 - Pavuna, Rio de Janeiro - State of Rio de Janeiro, 21535-510, Brazil",75000 sqft total space,10.0 MW total power,0 colocation products,,,-22.808158525311917,-43.34022894054106
99,https://datacenters.com/nextstream-lince,NextStream: Lince Data Center,"Rua Senador Accioly Filho, 2200 - Cidade Industrial de Curitiba, Curitiba - PR, 81350-200, Brazil",0 colocation products,9.99 miles to nearest airport,,,,-25.4962621,-49.3288227
101,https://datacenters.com/scala-sgrutb04,Scala Data Centers: SGRUTB04,"Av. Ceci, 1650 - Tamboré, Barueri - São Paulo, 06460-120, Brazil",137222 sqft total space,12.0 MW total power,0 colocation products,13.5 miles to nearest airport,,-23.496901490629213,-46.8286808214364
102,https://datacenters.com/scala-sgrutb12,Scala Data Centers: SGRUTB12,"Av. Ceci - Tamboré, Barueri - State of São Paulo, 06460-120, Brazil",77016 sqft total space,6.0 MW total power,0 colocation products,13.71 miles to nearest airport,,-23.49791495631882,-46.82162116063731
104,https://datacenters.com/digital-realty-fortaleza-ftz01,Digital Realty: Fortaleza FTZ01 Data Center,"Rua Quatorze, 1161, Fortaleza - CE, 61921-430, Brazil",97000 sqft total space,10.0 MW total power,0 colocation products,,,-3.8071614120543984,-38.54458840645687
106,https://datacenters.com/centerserv-vitoria,CenterServ: Vitoria Data Center,"Rua José Alexandre Buaiz - Enseada do Suá, Vitória - State of Espírito Santo, Brazil",0 colocation products,3.11 miles to nearest airport,,,,-20.31141859025813,-40.29036446731785
107,https://datacenters.com/digital-realty-sao-paulo-sp03,Digital Realty: São Paulo SP03 Data Center,"Avenida Roberto Pinto Sobrinho, 350 - Vila Osasco, São Paulo - State of São Paulo, Brazil",43000 sqft total space,4.0 MW total power,0 colocation products,,,-23.49349295,-46.778577150000004
108,https://datacenters.com/mod-mission-critical-sp2-hostdime-north-brazil-pop,MOD Mission Critical: SP2 - HostDime North Brazil Data Center PoP,"Av. São Paulo, 1223 - Estados, João Pessoa - PB, 58088-230, Brazil",25000 sqft total space,5.0 MW total power,0 colocation products,,,-7.1175975000000005,-34.85292905
109,https://datacenters.com/vultr-sao-paulo,Vultr: Sao Paulo,"São Paulo, Brazil",0 colocation products,,,,,-23.5506507,-46.6333824
114,https://datacenters.com/nextstream-ixtlauaca,NextStream: Ixtlauaca Data Center,"Rua Senador Accioly Filho, 2200 - Cidade Industrial de Curitiba, Curitiba - PR, 81350-200, Brazil",0 colocation products,9.99 miles to nearest airport,,,,-25.4962621,-49.3288227
115,https://datacenters.com/ibm-sao04-sao-paulo-brazil,"IBM Cloud: SAO04 Sao Paulo, Brazil","São Paulo, State of São Paulo, Brazil",0 colocation products,,,,,-23.5506507,-46.6333824
116,https://datacenters.com/digital-realty-sao-paulo-htl03,Digital Realty: São Paulo HTL03 Data Center,"Rua Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - SP, 13185-252, Brazil",32000 sqft total space,3.0 MW total power,0 colocation products,,,-22.89540854282722,-47.177466167779286
117,https://datacenters.com/elea-bsb2-brasilia,Elea Data Centers: BSB2 Brasília Data Center,"SIG Q. 2 - Setor de Industrias Graficas - Brasília, Brasilia - Federal District, Brazil",0 colocation products,5.57 miles to nearest airport,,,,-15.83276165,-48.08383475
118,https://datacenters.com/scala-svcpcp01,Scala Data Centers: SVCPCP01,"Rua Guido de Camargo Penteado Sobrinho, 3685 - Barão Geraldo, Campinas - State of São Paulo, Brazil",129328 sqft total space,7.0 MW total power,0 colocation products,13.2 miles to nearest airport,,-22.822626255235225,-47.0974663052019
119,https://datacenters.com/digital-realty-sao-paulo-htl05,Digital Realty: São Paulo HTL05 Data Center,"Rua Papa João Paulo II, 5 - Jardim Santa Izabel, Hortolândia - SP, 13185-324, Brazil",226000 sqft total space,31.0 MW total power,0 colocation products,,,-22.89540854282722,-47.177466167779286
120,https://datacenters.com/digital-realty-sao-paulo-htl02,Digital Realty: São Paulo HTL02 Data Center,"Rua Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - SP, 13185-252, Brazil",43000 sqft total space,7.0 MW total power,0 colocation products,,,-22.89540854282722,-47.177466167779286
121,https://datacenters.com/digital-realty-sao-paulo-htl01,Digital Realty: São Paulo HTL01 Data Center,"Rua Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - SP, 13185-252, Brazil",43000 sqft total space,10.0 MW total power,0 colocation products,,,-22.89540854282722,-47.177466167779286
123,https://datacenters.com/digital-realty-sao-paulo-htl04,Digital Realty: São Paulo HTL04 Data Center,"Rua Papa João Paulo II, 4 - Jardim Santa Izabel, Hortolândia - SP, 13185-252, Brazil",32000 sqft total space,3.0 MW total power,0 colocation products,,,-22.89540854282722,-47.177466167779286
124,https://datacenters.com/digital-realty-sao-paulo-pln01,Digital Realty: São Paulo PLN01 Data Center,"Rua Sebastião Cardoso - Parque Brasil 500, Paulínia - SP, 13141-005, Brazil",86000 sqft total space,14.0 MW total power,0 colocation products,,,-22.793559569134995,-47.137736704850674
125,https://datacenters.com/digital-realty-sao-paulo-sum03,Digital Realty: São Paulo SUM03 Data Center,"SP-330, São Simão - State of São Paulo, Brazil",130000 sqft total space,20.0 MW total power,0 colocation products,,,-21.40250680135909,-47.673889875899505
127,https://datacenters.com/digital-realty-sao-paulo-sum01,Digital Realty: São Paulo SUM01 Data Center,"SP-330, São Simão - State of São Paulo, Brazil",118000 sqft total space,14.0 MW total power,0 colocation products,,,-21.40250680135909,-47.673889875899505
128,https://datacenters.com/digital-realty-sao-paulo-sum04,Digital Realty: São Paulo SUM04 Data Center,"SP-330, São Simão - State of São Paulo, Brazil",130000 sqft total space,20.0 MW total power,0 colocation products,,,-21.40250680135909,-47.673889875899505
129,https://datacenters.com/digital-realty-sao-paulo-sum02,Digital Realty: São Paulo SUM02 Data Center,"SP-330, São Simão - State of São Paulo, Brazil",129000 sqft total space,20.0 MW total power,0 colocation products,,,-21.40250680135909,-47.673889875899505
130,https://datacenters.com/kyndryl-brazil,Kyndryl: Brazil Data Center,"Rodovia Jornalista Francisco Aguirre Proença, Monte Mor - State of São Paulo, Brazil",0 colocation products,10.63 miles to nearest airport,,,,-22.98472195,-47.37814095
132,https://datacenters.com/novvacore-sao-paulo,Novvacore: Sao Paulo Data Center,"Rua Professor Filadelfo Azevedo, 712 - Moema, São Paulo - State of São Paulo, Brazil",0 colocation products,2.73 miles to nearest airport,,,,-23.590992932442038,-46.66459641755545
133,https://datacenters.com/tecto-mega-lobster,Tecto: Mega Lobster,"Avenida Dioguinho - Vicente Pinzon, Fortaleza - CE, Brazil",0 colocation products,6.51 miles to nearest airport,,,,-3.7285038822947096,-38.46052824461564
134,https://datacenters.com/vivo-empresas-vivo-rio-de-janeiro,Vivo Empresas: Vivo Rio de Janeiro Data Center,"Rua Sara, 36 - Santo Cristo, Rio de Janeiro - State of Rio de Janeiro, 20220-090, Brazil",0 colocation products,2.62 miles to nearest airport,,,,-22.902708946051714,-43.20382561223076
138,https://datacenters.com/tecto-rio-cls,Tecto: Rio CLS,"Rio de Janeiro, RJ, Brazil",0 colocation products,0.61 miles to nearest airport,,,,-22.9110137,-43.2093727
139,https://datacenters.com/tecto-fortaleza-cls,Tecto: Fortaleza CLS,"Fortaleza - CE, Brazil",0 colocation products,3.32 miles to nearest airport,,,,-3.7304512,-38.5217989
140,https://datacenters.com/ada-infrastructure-rio-de-janeiro,Ada Infrastructure: Rio de Janeiro Data Center,"Avenida Brigadeiro Faria Lima, 3900 - Itaim Bibi, São Paulo - SP, 04538-132, Brazil",50.0 MW total power,0 colocation products,2.87 miles to nearest airport,,,-23.5901699,-46.68209884093959
141,https://datacenters.com/ada-infrastructure-sao-paulo,Ada Infrastructure: Sao Paulo Data Center,"Avenida Brigadeiro Faria Lima, 3900 - Itaim Bibi, São Paulo - SP, 04538-132, Brazil",100.0 MW total power,0 colocation products,2.87 miles to nearest airport,,,-23.5901699,-46.68209884093959
